objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237655499212783864,229.911510676716,-1.47156050157727,19.22873,17.93392,17.88899,17.92813,17.94399,2334,301,4,227,1040448927205189632,STAR,-5.908894E-05,924,52409,427
1237655499212980328,230.353824180629,-1.34447321592343,17.33265,16.17621,15.78515,15.63165,15.55226,2334,301,4,230,1040462671100536832,STAR,-5.112103E-05,924,52409,477
1237655499213111427,230.625139208842,-1.41110288471929,18.16613,16.89182,16.82227,16.83837,16.85951,2334,301,4,232,1040468443536582656,STAR,-0.0002360093,924,52409,498
1237663785276538989,12.4157913015881,0.934644683888202,19.00965,18.01503,17.89645,17.85542,17.89908,4263,301,6,198,4042197356615325696,STAR,-0.0003156605,3590,55201,788
1237663785276669958,12.5884510020092,0.859743227290998,18.45262,17.95023,17.87552,17.83,17.6503,4263,301,6,200,4755951381797689344,QSO,2.220201,4224,55481,546
1237663785276735510,12.7424726986905,0.992371666057671,18.85195,17.49152,16.97001,16.77114,16.6764,4263,301,6,201,1220601711446484992,STAR,-0.0006366862,1084,52591,459
1237663785276801074,12.9868620080242,1.01448049912721,18.73895,18.36329,18.4319,18.54458,18.6266,4263,301,6,202,4042229242452531200,STAR,-3.994253E-05,3590,55201,904
1237663785276801085,13.0100302157746,1.02479034476781,17.85868,17.38503,17.35282,17.28482,17.0417,4263,301,6,202,4755973921786058752,QSO,2.269131,4224,55481,628
1237663785276801087,13.0149666688739,0.972859599260212,19.21015,18.30456,18.06206,17.9854,17.94908,4263,301,6,202,3502785741392551936,STAR,-0.0009352969,3111,54800,404
1237663785276866627,13.1010180269504,0.868021712170513,17.25719,16.05376,15.63719,15.51799,15.46191,4263,301,6,203,1684504363801798656,STAR,-6.136934E-05,1496,52883,575
1237663785276932159,13.3125388839895,0.910597396001946,19.17388,18.24981,17.85872,17.71073,17.64072,4263,301,6,204,8863248565776177152,STAR,-0.0004197506,7872,57279,598
1237663785277128838,13.728930954453,1.01745294998315,19.56934,19.3326,19.13186,19.16023,19.00674,4263,301,6,207,3502830271613476864,QSO,1.062695,3111,54800,566
1237663785277194303,13.8494411177121,0.903742229461293,17.23314,15.61581,15.09167,14.93607,14.87516,4263,301,6,208,3502831096247197696,STAR,9.733376E-05,3111,54800,569
1237663785277259825,14.0200088702265,0.857392061921535,19.26216,18.99417,19.02277,18.95411,18.89231,4263,301,6,209,10575711001776510976,QSO,0.694382,9393,58100,484
1237663785277325432,14.1840109024378,0.935239391803774,19.51313,18.32642,17.90961,17.77626,17.71218,4263,301,6,210,444833297453836288,STAR,-8.772745E-06,395,51783,374
1237663785277456487,14.5055420469946,0.857797183422513,17.70187,16.46494,15.9505,15.74427,15.64519,4263,301,6,212,3503911366455042048,STAR,-0.0004938998,3112,54802,403
1237663785277653119,14.8437160787307,1.00280196477612,19.43963,18.5745,18.27908,18.19233,18.15489,4263,301,6,215,3503922361571319808,STAR,-0.0007804183,3112,54802,443
1237663785277718560,15.0508285511531,0.920579629030401,17.85972,16.61465,16.14804,15.98934,15.92044,4263,301,6,216,3503948749850386432,STAR,-0.0001356298,3112,54802,539
1237663785278177325,16.1260840669016,0.978298704619249,16.8068,15.88378,15.59592,15.49379,15.48088,4263,301,6,223,2604296706992400384,STAR,-0.0004798943,2313,53726,328
1237663785278242879,16.2527948767476,0.973423355309498,18.23979,16.95969,17.06364,17.16197,17.2208,4263,301,6,224,2604308801620305920,STAR,-0.0001609398,2313,53726,372
1237663785278242883,16.2887463649413,0.882996614631691,18.35976,18.0011,18.0146,17.96661,18.04696,4263,301,6,224,10575587581596293120,QSO,0.6509618,9393,58100,35
1237663785278373963,16.5201247249459,0.952232867585095,19.45477,18.18286,17.69731,17.5175,17.45558,4263,301,6,226,2604317597713328128,STAR,-3.26477E-05,2313,53726,404
1237663785278439482,16.7323203978188,1.00469681837192,17.71486,16.6951,16.45313,16.3476,16.33632,4263,301,6,227,9895683113635567616,STAR,-0.0001345954,8789,57358,541
1237663785278504968,16.7666824717597,0.909326358769678,18.78253,17.40108,16.9287,16.7514,16.67374,4263,301,6,228,2604320621370304512,STAR,-0.0001711892,2313,53726,415
1237663785278767134,17.4044097107466,0.894000406408507,18.98515,17.70736,17.23071,17.02709,16.92785,4263,301,6,232,2604361028422625280,STAR,-0.0002330602,2313,53726,562
1237663785278963753,17.8663616505444,0.963994671906525,19.07898,17.70723,17.22697,17.03255,16.97959,4263,301,6,235,2604372848172623872,STAR,-0.0001162536,2313,53726,605
1237663785279356938,18.7324165593822,0.841031019209939,16.78184,15.87975,15.58155,15.46386,15.44775,4263,301,6,241,782613721896740864,STAR,-7.714016E-05,695,52202,412
1237663785279356955,18.7860467245031,0.896119167141934,19.13015,18.05105,18.11019,18.21343,18.34996,4263,301,6,241,782613447018833920,STAR,-0.0008543299,695,52202,411
1237663785279422654,18.8901293329566,0.982878925155161,19.02906,18.77112,18.48322,18.27983,18.23728,4263,301,6,242,10579101620775442432,QSO,1.395644,9396,58101,531
1237663785279488041,19.05133513823,0.963584436302142,18.96931,17.72551,17.32722,17.17518,17.12468,4263,301,6,243,1687891961106688000,STAR,-1.111679E-05,1499,53001,611
1237663785279488062,19.1249032910115,0.848574731879278,18.43643,17.00729,16.51525,16.31787,16.25576,4263,301,6,243,1687894160129943552,STAR,-7.578896E-05,1499,53001,619
1237655125009498256,185.053370921443,4.61269294263035,18.85376,17.63624,17.09915,16.77308,16.58518,2247,301,3,162,950277978091186176,GALAXY,0.07916908,844,52378,67
1237655125012971787,193.035414318333,4.62207107360254,18.70291,16.77467,15.7684,15.24826,14.82092,2247,301,3,215,953658152518182912,GALAXY,0.06267291,847,52426,76
1237655125015134328,197.930303020946,4.55735102158634,19.53718,18.04383,17.19111,16.71498,16.38739,2247,301,3,248,957057291239057408,GALAXY,0.1338578,850,52338,154
1237655125002485954,169.054902460469,4.53851551752113,19.26079,17.71846,16.85706,16.4086,16.05199,2247,301,3,55,940167692923463680,GALAXY,0.108029,835,52326,150
1237662194520817750,167.521332721256,41.1138737685353,19.37265,18.38807,18.05978,17.92326,17.85787,3893,301,3,88,3744791826477981696,STAR,-1.490243E-05,3326,54943,177
1237662194520817711,167.667584765044,40.966946795665,18.96536,18.85525,18.71097,18.80771,18.84324,3893,301,3,88,1618071873986258944,QSO,0.9602621,1437,53046,559
1237662194520883240,167.83422481196,41.0108882657299,19.15521,18.26169,17.91911,17.80554,17.76138,3893,301,3,89,9420515146110097408,STAR,-0.0005731662,8367,57429,402
1237662194521210999,168.710949136752,41.2296941753044,18.63942,17.47231,16.96621,16.75208,16.66435,3893,301,3,94,3744894905693085696,STAR,0.0001810012,3326,54943,552
1237662194521276508,169.06710320698,41.2352371437089,17.06688,16.13332,15.83756,15.72546,15.69523,3893,301,3,95,1620331644537825280,STAR,0.0001133634,1439,53003,588
1237662194521341998,169.163936229336,41.3350070900116,18.75283,17.86375,17.60158,17.52102,17.50148,3893,301,3,96,9420447526144989184,STAR,-0.0001028981,8367,57429,156
1237662194523111431,174.419890846979,41.8668483915527,18.3648,18.01089,17.70647,17.55432,17.37525,3893,301,3,123,1624849263810865152,QSO,2.042813,1443,53055,639
1237662194523439143,175.525971494117,41.9663752056819,18.91168,17.98214,17.64854,17.53312,17.50683,3893,301,3,128,5289654878058338304,STAR,0.000209258,4698,55623,644
1237662194524160084,177.691920600313,42.1847427578505,19.3769,19.40283,19.0815,19.16275,19.33864,3893,301,3,139,1627101063741990912,QSO,1.322512,1445,53062,639
1237662194524749947,179.509318983241,42.2709561461252,19.40976,19.4283,19.24921,19.22177,19.27601,3893,301,3,148,9437436631470856192,QSO,1.275372,8382,57513,522
1237662194525339659,181.269326666088,42.3845879528438,17.44259,16.54847,16.30279,16.20018,16.19273,3893,301,3,157,9437522668255729664,STAR,-0.0005853261,8382,57513,835
1237662194525405239,181.584852482297,42.3370405326531,19.00754,18.78102,18.65147,18.72993,18.74445,3893,301,3,158,9437533938249914368,QSO,0.9048473,8382,57513,876
1237663230680170617,272.85803670331,79.2591206949435,18.47563,17.86748,17.35466,17.21593,16.96716,4134,301,5,65,3154865070039656448,QSO,0.7686335,2802,54326,340
1237663230680825929,280.999000771064,79.17043582813,18.12315,16.92512,16.41964,16.22689,16.11032,4134,301,5,75,3154929391469881344,STAR,-0.0004681775,2802,54326,574
1237663230681416017,288.025005599921,79.130273845817,19.44944,18.22362,17.70716,17.51417,17.42654,4134,301,5,84,2090909430089541632,STAR,-0.0002028861,1857,53182,412
1237663230681874584,293.276189839935,78.6971886422135,18.72582,17.54478,17.06506,16.88649,16.7968,4134,301,5,91,2090948462752327680,STAR,-1.507582E-05,1857,53182,554
1237663230683120025,305.948797085429,77.6282117491216,19.29196,17.54326,16.79005,16.47833,16.34228,4134,301,5,110,1869134087281731584,STAR,-0.0001621072,1660,53230,510
1237663230683119779,306.526258977289,77.7604637678716,17.66411,16.35173,16.07352,15.97145,15.95832,4134,301,5,110,1869132438014289920,STAR,-0.0004304253,1660,53230,504
1237663230683381797,308.15629235949,77.3606071297427,18.67205,17.33363,16.75581,16.49278,16.3756,4134,301,5,114,1870273181495879680,STAR,-0.0001550003,1661,53240,558
1237650760239218812,171.195073010438,-3.628092837856,19.26626,17.40153,16.47815,16.0713,15.72921,1231,301,1,13,367112128953346048,GALAXY,0.08046945,326,52375,250
1237650760239284259,171.330747141565,-3.59585137931451,18.09738,15.90681,14.97128,14.65577,14.54698,1231,301,1,14,367100309203347456,STAR,-5.153796E-05,326,52375,207
1237650760241840277,177.251605337836,-3.57941755984964,18.8256,17.77257,17.3679,17.12159,16.98111,1231,301,1,53,370446942368458752,GALAXY,0.02903826,329,52056,94
1237650760250228903,196.442467811619,-3.6520472194109,18.83928,17.75774,17.43222,17.23358,17.15917,1231,301,1,181,381682295829981184,GALAXY,0.04670962,339,51692,8
1237650760242626841,178.994258126366,-3.56256590007865,18.44375,17.53037,17.31466,17.31782,18.75798,1231,301,1,65,371549482921256960,GALAXY,0.7573125,330,52370,9
1237667209972678734,136.008503179495,19.4676334154216,19.39472,17.32161,16.19929,15.70703,15.33161,5061,301,1,146,2572816864019245056,GALAXY,0.1295922,2285,53700,493
1237667209987817628,172.719501086077,28.2170400544952,19.50938,17.51398,16.40853,15.96832,15.59722,5061,301,1,377,2496122081268230144,GALAXY,0.1376694,2217,53794,7
1237667209990897878,180.725476646011,28.7058374788312,19.09484,17.61281,16.81064,16.39477,16.08375,5061,301,1,424,2505140824304543744,GALAXY,0.1293248,2225,53729,49
1237667209991487627,182.180033033544,28.7438020875996,19.27481,17.31317,16.19437,15.75931,15.36765,5061,301,1,433,2509731012049659904,GALAXY,0.1350627,2229,53823,364
1237667209992536103,184.922075300168,28.8255052384247,16.79034,14.96549,14.16177,13.77506,13.51949,5061,301,1,449,2513076826000091136,GALAXY,0.02499928,2232,53827,248
1237667209968353640,126.534695742389,15.4526987335595,19.49423,18.39534,17.89112,17.5815,17.42472,5061,301,1,80,2558208752750716928,GALAXY,0.1443852,2272,53713,597
1237667209971499043,133.286889457064,18.4378966780249,18.76147,16.80314,15.84066,15.4052,15.05621,5061,301,1,128,2570515586668849152,GALAXY,0.07661986,2283,53729,313
1237667209973924091,138.860884889558,20.4615029698477,19.32787,18.24412,17.75662,17.41555,17.25503,5061,301,1,165,2573978223176083456,GALAXY,0.06827733,2286,53700,622
1237667209974382809,139.880312561919,20.8577149898507,18.32958,16.4886,15.61866,15.2075,14.87903,5061,301,1,172,2576219852490434560,GALAXY,0.05422489,2288,53699,585
1237667209985786014,167.518616705268,27.6840852736752,19.25711,18.05877,17.47173,17.12516,16.92592,5061,301,1,346,2492831792722110464,GALAXY,0.03568653,2214,53794,325
1237667209986441327,169.145064907107,27.8242091033771,18.75079,16.76913,15.82,15.4122,15.07071,5061,301,1,356,2492897488541870080,GALAXY,0.07973501,2214,53794,564
1237667209988931665,175.581877561482,28.5894659632499,18.9497,16.91787,15.71351,15.24337,14.9004,5061,301,1,394,2501832120113063936,GALAXY,0.1537808,2222,53799,300
1237667209989062710,175.845215289121,28.5944869021127,19.55959,17.59731,16.57311,16.13778,15.79929,5061,301,1,396,2501818651095623680,GALAXY,0.1018764,2222,53799,251
1237667209975234630,141.792431911759,21.5939132015878,16.85333,14.94827,14.07085,13.65339,13.32043,5061,301,1,185,2577309468664555520,GALAXY,0.03695561,2289,53708,453
1237678877245244171,318.951692400613,9.31514583157475,19.51665,18.50036,17.95667,17.53139,17.32035,7777,301,5,53,819657923239110656,GALAXY,0.1142988,728,52520,10
1237665126921339169,153.13468847866,29.4584992649666,19.05109,18.02839,17.67185,17.4587,17.38883,4576,301,1,265,2643756805443840000,GALAXY,0.04189205,2348,53757,523
1237665126922125402,154.991422431981,30.1129878580688,18.83006,17.48289,16.8069,16.43731,16.17387,4576,301,1,277,2202291611528882176,GALAXY,0.08234208,1956,53437,114
1237665126922190987,155.201387037042,30.0458490178344,19.56739,17.55365,16.58051,16.13126,15.7888,4576,301,1,278,2647105643470678016,GALAXY,0.09609402,2351,53786,418
1237665126924353639,160.755151294246,31.4077919638839,18.43559,17.15264,16.53693,16.1549,15.92798,4576,301,1,311,2273231551879735296,GALAXY,0.07829723,2019,53430,144
1237665126925795465,164.630420190603,32.0584235026932,18.47743,16.79093,15.95346,15.50406,15.18177,4576,301,1,333,2281080695226918912,GALAXY,0.08213324,2026,53711,27
1237665126927499303,169.148770127366,32.7077972817472,19.07997,17.05941,16.15563,15.72244,15.41948,4576,301,1,359,2372311024532482048,GALAXY,0.05994571,2107,53786,145
1237665126928089159,170.628188279063,32.8927370597446,18.46457,16.51914,15.67205,15.2592,14.96319,4576,301,1,368,7248783400609536000,GALAXY,0.04407065,6438,56367,872
1237665126930055405,176.013974700211,33.5350631439646,17.39377,15.46803,14.60289,14.16267,13.81227,4576,301,1,398,2361074010747332608,GALAXY,0.03110629,2097,53491,225
1237665126930055406,176.018037870408,33.5427612891904,17.6181,16.21338,15.51543,15.14813,14.87035,4576,301,1,398,5231019297321801728,GALAXY,0.03184352,4646,55622,321
1237665126930186418,176.346781977776,33.4674515665773,18.49558,16.78567,15.96245,15.5689,15.27711,4576,301,1,400,2361059442218264576,GALAXY,0.03238306,2097,53491,172
1237665126931300553,179.409237517162,33.8105814169262,19.56802,17.67271,16.7672,16.36598,16.04051,4576,301,1,417,2363309867273316352,GALAXY,0.07931909,2099,53469,167
1237665126932349015,182.3184381867,33.8752352920883,17.39146,15.52328,14.69373,14.32144,14.03739,4576,301,1,433,5192789002609252352,GALAXY,0.05474328,4612,55590,504
1237665126937657451,196.755902410311,33.1815569796026,18.34194,16.81266,16.03599,15.58569,15.26017,4576,301,1,514,2258562418269513728,QSO,0.08857914,2006,53476,26
1237665126938574990,199.369741153224,33.0293107082349,19.56146,18.26367,17.49831,17.06677,16.76498,4576,301,1,528,2356536331745650688,GALAXY,0.1268891,2093,53818,101
1237665126943162472,211.334675840929,30.8115748448401,17.20749,15.97861,15.51164,15.28705,15.19438,4576,301,1,598,2392620928593848320,GALAXY,0.02450586,2125,53795,304
1237665126946635882,220.131072806448,28.6688581623605,17.29381,15.47218,14.66272,14.27003,13.96951,4576,301,1,651,2406207325795805184,GALAXY,0.04581356,2137,54206,579
1237665126946963614,220.89585569575,28.2992823175942,18.95873,17.39935,16.58736,16.1711,15.89025,4576,301,1,656,2410633127559981056,GALAXY,0.1253513,2141,53764,296
1237665126948864127,225.510795869631,26.8797953385959,19.49461,17.7958,16.86325,16.43028,16.08719,4576,301,1,685,2421881144246036480,GALAXY,0.1250399,2151,54523,256
1237665126934052944,187.043046787225,33.7356119460818,19.49265,17.41883,16.4595,16.05224,15.71039,4576,301,1,459,2268742527307769856,GALAXY,0.08563848,2015,53819,197
1237665126947553339,222.354101977331,27.7729282061705,17.81908,15.91309,15.04714,14.63271,14.27847,4576,301,1,665,2411824730735667200,GALAXY,0.03143219,2142,54208,535
1237665126940147735,203.41828602056,32.3349097549945,18.61819,16.63319,15.82305,15.43368,15.18594,4576,301,1,552,2374574363883104256,GALAXY,0.08069272,2109,53468,187
1237665126936346634,193.184085349003,33.4798255150497,18.00019,17.31712,16.74151,16.3352,16.1303,4576,301,1,494,2237190940731140096,QSO,0.129397,1987,53765,101
1237665126937002031,195.033861459135,33.437668167308,18.29271,17.53258,17.30964,17.23861,17.13081,4576,301,1,504,2258608872635787264,GALAXY,0.02348704,2006,53476,195
1237665126938050623,197.852979987953,33.1852737791056,19.20329,17.21183,16.18589,15.74914,15.37414,4576,301,1,520,11543927478671398912,GALAXY,0.1271904,10253,58487,275
1237665126924484706,161.096750258779,31.4901637825912,19.08284,17.24947,16.46261,16.07486,15.80196,4576,301,1,313,2273211210914621440,GALAXY,0.03572111,2019,53430,70
1237665126933790786,186.161465830107,33.89425371988,17.9382,16.43697,15.75941,15.30842,15.0794,4576,301,1,455,2268762318517069824,GALAXY,0.07036352,2015,53819,269
1237665126938116121,198.028569981771,33.0384070995109,17.76138,16.63652,16.28456,16.28388,16.10373,4576,301,1,521,2356558871734020096,STAR,-8.571034E-05,2093,53818,183
1237665126938443852,198.995688808503,33.017758484358,18.90037,17.33666,16.41444,16.00219,15.64049,4576,301,1,526,2356548426373556224,GALAXY,0.1234384,2093,53818,145
1237665126938837094,199.939439975488,32.8754669066052,18.27449,17.01069,16.39594,16.0505,15.79158,4576,301,1,532,2356526711018907648,GALAXY,0.0369225,2093,53818,66
1237665126947094538,221.191101524193,28.1712850625888,17.52454,16.71686,16.44927,16.33547,16.19788,4576,301,1,658,2411780475392649216,GALAXY,0.01231138,2142,54208,374
1237665126946570458,219.916174470876,28.6430088633875,18.34764,17.30454,16.89004,16.63901,16.48087,4576,301,1,650,2406192207510923264,GALAXY,0.04549605,2137,54206,524
1237665126925140028,162.720944357002,31.8516189766199,19.56378,17.78819,16.78485,16.32712,15.97791,4576,301,1,323,2281136495442028544,GALAXY,0.1179479,2026,53711,230
1237665126945587312,217.497665793485,29.301368668448,18.71196,16.72027,15.74471,15.29953,14.94623,4576,301,1,635,2401583049918670848,GALAXY,0.08864074,2133,53917,140
1237665126946373732,219.434803148357,28.6860003557033,19.30923,17.92959,17.28605,16.92471,16.6459,4576,301,1,647,2406159771917903872,GALAXY,0.09514727,2137,54206,406
1237668271380234437,245.43844895746,9.71024085580758,18.25812,17.1578,16.64405,16.4326,16.3406,5308,301,2,356,2847576588311095296,STAR,0.0002924469,2529,54585,639
1237668271381020689,247.08161191576,9.09955657513352,17.70123,16.71861,16.40875,16.27622,16.25392,5308,301,2,368,2850910582511527936,STAR,0.0002626351,2532,54589,480
1237662963857752335,357.86724895444,38.603795059046,16.84404,15.65695,15.23836,15.07679,15.0087,4072,301,4,102,2118958797690005504,STAR,-6.309403E-05,1882,53262,55
1237662963857555866,357.894407794721,39.1179724165336,19.01163,17.70384,17.10934,16.83914,16.71343,4072,301,4,99,2118987659870234624,STAR,-0.001241036,1882,53262,160
1237662963857817730,357.896816367775,38.5072304273352,18.11495,16.39083,15.68772,15.4208,15.27002,4072,301,4,103,2118958247934191616,STAR,-0.0001770237,1882,53262,53
1237662963857883677,357.987537132138,38.3151781118232,19.33753,17.75513,17.07624,16.79601,16.63504,4072,301,4,104,2118955774033029120,STAR,-0.0001347016,1882,53262,44
1237662963857687131,358.005215262124,38.7845264926021,19.16712,17.40929,16.67509,16.41087,16.25157,4072,301,4,101,2118984361335351296,STAR,-0.0001165939,1882,53262,148
1237662963858211013,358.146467091852,37.6454644848383,18.03648,16.42646,15.75694,15.48697,15.34864,4072,301,4,109,2116816399283283968,STAR,-0.0002515872,1880,53262,453
1237662963858472999,358.368732960528,37.1367642429588,18.1846,17.15541,16.75033,16.58312,16.49092,4072,301,4,113,2117953844045441024,STAR,-0.001138543,1881,53261,495
1237662963854999885,355.649332671963,44.7380927417332,18.02005,17.03582,16.60596,16.44467,16.35642,4072,301,4,60,2123447553490970624,STAR,-0.001131506,1886,53237,1
1237662963855130694,355.872271351486,44.5478779811258,18.41152,17.41856,17.03835,16.8924,16.81464,4072,301,4,62,2121316974683252736,STAR,-0.0005392828,1884,53228,442
1237662963855327312,355.949163203035,44.0846137799585,16.30691,15.21297,14.89273,14.78472,14.77222,4072,301,4,65,2121320822973949952,STAR,-0.0001310996,1884,53228,456
1237662963855327688,356.056969864778,44.0052350279978,18.3229,17.23785,16.7028,16.46328,16.32938,4072,301,4,65,2121342538328598528,STAR,-0.0005206278,1884,53228,535
1237662963855720705,356.376225776827,43.1653362572625,16.91526,15.78604,15.43301,15.31762,15.28144,4072,301,4,71,2121349410276272128,STAR,-4.079748E-05,1884,53228,560
1237662963857817698,357.938727947902,38.549304838567,17.93723,16.40748,15.71222,15.42226,15.25891,4072,301,4,103,2118959622323726336,STAR,-0.0001825222,1882,53262,58
1237662963858210859,358.2300230753,37.7319928946708,18.22115,17.08846,16.61503,16.40969,16.28984,4072,301,4,109,2116836465370490880,STAR,-0.0001545037,1880,53262,526
1237662963856965908,357.444943153751,40.419073044353,18.5926,17.39039,17.16837,17.12983,17.14208,4072,301,4,90,2119069023730690048,STAR,-0.0003494659,1882,53262,456
1237662963857817738,357.894686174704,38.491640041881,18.65022,17.03322,16.34912,16.0726,15.92696,4072,301,4,103,2118957148422563840,STAR,-0.0001077602,1882,53262,49
1237662963857818175,357.917001519493,38.4634806054858,19.16394,16.88299,15.8572,15.46868,15.23266,4072,301,4,103,2118959347445819392,STAR,-0.0001864644,1882,53262,57
1237678617428951198,25.369348756978,1.21567020325553,19.58874,18.10059,17.11715,16.60596,16.23343,7717,301,1,499,451596393560172544,GALAXY,0.1348147,401,51788,402
1237678617426919647,20.7842752299542,1.23622680058129,19.33893,18.09283,17.44032,16.99916,16.7967,7717,301,1,468,783741546066372608,GALAXY,0.08942591,696,52209,419
1237678617433800975,36.5494289769038,1.0696965973944,19.02204,17.52598,16.74274,16.31943,16.03316,7717,301,1,573,457270149913798656,GALAXY,0.07319852,406,51876,563
1237648705123647532,205.483458627928,0.463696722641143,18.80417,18.88553,19.22082,20.00821,22.82692,752,301,5,414,4552200334798510080,QSO,2.547647,4043,55630,680
1237679254670475306,32.1612915588263,-4.14328927781285,17.79691,16.78882,16.44131,16.31321,16.26261,7865,301,4,129,10495758633367001088,STAR,-9.564496E-05,9322,57742,435
1237679254670868489,33.0069735584417,-4.05202606744823,16.51655,15.62138,15.36029,15.28789,15.25077,7865,301,4,135,8148301564823754752,STAR,5.699746E-06,7237,56662,596
1237679254672441509,36.5772578580559,-3.84739613269318,19.13518,17.9063,17.41049,17.23002,17.19011,7865,301,4,159,7171102351834765312,STAR,-0.0002499964,6369,56217,894
1237679254672703560,37.176665110563,-3.87064503063248,18.93869,17.91941,17.52353,17.39964,17.31868,7865,301,4,163,7171128190358018048,STAR,-7.144837E-05,6369,56217,988
1237679254672965848,37.8666206702821,-3.90594887696488,19.04492,18.16155,17.82473,17.66772,17.61887,7865,301,4,167,10492304522638284800,STAR,0.0004182885,9319,58043,157
1237679254673424390,38.8310621356148,-3.78736646791114,17.86522,17.73638,17.74804,17.6799,17.19352,7865,301,4,174,10493583255097595904,QSO,0.3780543,9320,58069,713
1237679254673489922,38.9753543952765,-3.81950924412339,18.28654,17.29557,17.01205,16.90808,16.86251,7865,301,4,175,9153841236855248896,STAR,0.0002948314,8130,56933,1000
1237662197748793780,232.329206891083,7.47316913482187,19.58532,18.95605,18.30489,17.74441,17.4562,3894,301,1,191,5864901775883261952,QSO,1.926481,5209,56002,324
