objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,w1,w2
1237651735779278997,231.036948441854,1.22649218886831,17.38479,16.41313,16.04298,15.88838,15.82442,1458,301,2,709,352529844212361216,STAR,5.859335E-05,313,51673,448,14.49171,14.53303
1237651735780327499,233.379422271282,1.18116428297399,19.20645,18.24763,17.93308,17.79336,17.75067,1458,301,2,725,4564522557047592960,STAR,-0.0003131635,4054,55358,452,16.862,17.15052
1237651735781769477,236.637321149369,0.932435308043508,19.27675,18.93374,18.84072,18.98974,18.85817,1458,301,2,747,385172695475578880,QSO,0.8169194,342,51691,418,14.06496,12.87972
1237651735783080419,239.716087058982,0.993876166700475,19.5256,19.23405,19.13795,18.86028,18.73941,1458,301,2,767,386340101963147264,QSO,1.740859,343,51692,569,15.57742,14.28676
1237651737367478373,179.75441116383,3.24952195131977,18.7896,17.46189,16.77657,16.38904,16.08688,1458,301,5,367,581081483758823424,GALAXY,0.06882604,516,52017,426,13.2942,13.19311
1237651737367609474,180.074639156902,3.2303751582116,19.34144,17.81854,17.09109,16.65753,16.30705,1458,301,5,369,581096602043705344,GALAXY,0.1308753,516,52017,481,13.34772,13.15379
1237651737367740589,180.407530417577,3.2610626436368,18.29888,16.34245,15.38237,14.96404,14.65841,1458,301,5,371,581086431561148416,GALAXY,0.0839809,516,52017,444,12.05425,12.04057
1237651737369247873,183.786878473139,3.1932270891295,18.64906,16.83476,15.92101,15.48027,15.16335,1458,301,5,394,583348406303352832,GALAXY,0.07581612,518,52282,481,12.57846,12.49315
1237651737369247934,183.869307527975,3.18403377693514,18.32433,16.41665,15.47799,15.05332,14.70019,1458,301,5,394,583349780692887552,GALAXY,0.07713375,518,52282,486,12.14684,12.11044
1237651737371476093,188.950179472835,3.20179908944451,17.56137,16.10233,15.46299,15.10994,14.89644,1458,301,5,428,585637039857231872,GALAXY,0.07380177,520,52288,615,12.12409,11.94305
1237651737373311124,193.153503271944,3.17641110491726,18.71222,17.01852,16.18146,15.78653,15.45627,1458,301,5,456,588941892536788992,GALAXY,0.07015899,523,52026,350,13.03748,12.96293
1237651737373311189,193.03710853374,3.12074519597199,19.14948,17.56009,16.9497,16.71617,16.44393,1458,301,5,456,588944641315858432,STAR,0.003617445,523,52026,360,14.49128,14.24804
1237651737373966440,194.548429931906,3.29628001207673,17.8979,16.7336,16.22662,15.89431,15.69817,1458,301,5,466,589004839577479168,GALAXY,0.07218277,523,52026,579,13.09276,13.01859
1237651737374294085,195.430770236654,3.26856466297161,18.26645,16.04715,15.12144,14.69266,14.3823,1458,301,5,471,5357121462284343296,GALAXY,0.04772118,4758,55682,326,11.93794,11.97119
1237651737374294086,195.432160263912,3.26848847879174,16.97623,15.89111,15.46288,15.13309,14.93953,1458,301,5,471,590064768803432448,GALAXY,0.04794266,524,52027,339,12.20907,11.94762
1237651737374359708,195.544906797741,3.10661290747486,16.26732,14.82682,14.1333,13.77193,13.50218,1458,301,5,472,590077138309244928,GALAXY,0.04718846,524,52027,384,10.86474,10.73798
1237651737374425187,195.618702212178,3.19727445131138,18.41186,16.57623,15.7226,15.32671,15.00476,1458,301,5,473,590076313675524096,GALAXY,0.04721376,524,52027,381,12.513,12.50532
1237651737374490790,195.837735949682,3.25389240414803,19.42153,17.85324,17.07555,16.69907,16.42781,1458,301,5,474,590097754152265728,GALAXY,0.07276948,524,52027,459,13.91203,13.8333
1237651737374556347,195.986320688343,3.10092044877888,18.80791,17.80373,17.32792,17.03714,16.86156,1458,301,5,475,590100502931335168,GALAXY,0.04124402,524,52027,469,14.61652,14.3843
1237651737375015062,196.951529230778,3.18254405302889,18.62102,17.64684,17.25731,17.09777,16.94059,1458,301,5,482,591189023939127296,GALAXY,0.03780289,525,52295,333,14.59492,14.41867
1237651737375473710,198.030639214116,3.1990501334913,16.19656,14.74162,14.10729,13.7685,13.50626,1458,301,5,489,4511685525254723584,GALAXY,0.02764112,4007,55327,744,11.11822,11.12043
1237651737375801579,198.785122953311,3.21858385775792,18.13774,16.70296,15.90994,15.51799,15.22178,1458,301,5,494,591253620247259136,GALAXY,0.08371698,525,52295,568,12.65732,12.58292
1237651737375932564,199.123665654955,3.05500628314727,18.9349,17.17812,16.31124,15.90191,15.59432,1458,301,5,496,591267639020513280,GALAXY,0.1053947,525,52295,619,13.15143,13.08008
1237651737375932577,199.149339997755,3.06439871434631,16.64896,15.36216,14.83368,14.55418,14.34688,1458,301,5,496,591266539508885504,GALAXY,0.02012058,525,52295,615,11.8011,11.73213
1237651737376391412,200.203608254262,3.12632961919456,19.36023,17.93603,17.21329,16.80747,16.52074,1458,301,5,503,592349283869550592,GALAXY,0.1083599,526,52312,458,13.84997,13.68301
1237651737376522427,200.490273591577,3.09416906745298,19.12645,17.07771,16.0269,15.57752,15.18914,1458,301,5,505,592370449468385280,GALAXY,0.113117,526,52312,535,12.47777,12.35372
1237651737377046588,201.650695961973,3.0384520679213,18.88628,17.11388,16.21267,15.76434,15.419,1458,301,5,513,593452369413433344,GALAXY,0.09959501,527,52342,375,12.96829,12.84101
1237651737377374387,202.374395060164,3.12829829680435,19.06388,17.05416,15.98841,15.52476,15.17196,1458,301,5,518,593506520361101312,GALAXY,0.1140768,527,52342,572,12.47611,12.37022
1237651737378750553,205.589697907016,3.10010263010354,18.71331,17.46666,16.95747,16.595,16.40168,1458,301,5,539,595725054629668864,GALAXY,0.07778948,529,52025,451,13.94495,13.84724
1237651737379078290,206.259094395846,2.98331448874673,19.40485,17.57768,16.69156,16.28147,15.92409,1458,301,5,544,595774807530825728,GALAXY,0.077212,529,52025,632,13.42582,13.35436
1237651737380520076,209.562565293249,2.90842365085503,19.03399,17.10558,16.0871,15.62739,15.27326,1458,301,5,566,597967508644849664,GALAXY,0.09022992,531,52028,417,12.62252,12.53119
1237651737380978855,210.626725665438,3.02887417794224,18.66291,16.58415,15.63928,15.21056,14.88276,1458,301,5,573,598018910813448192,GALAXY,0.07725431,531,52028,604,12.30276,12.22969
1237651737380978928,210.692563402341,2.89354663950143,18.75381,17.31808,16.66647,16.29,16.05315,1458,301,5,573,599070318220306432,GALAXY,0.07545868,532,51993,333,13.75713,13.74666
1237651737381241061,211.286943350128,3.05244242632805,19.06974,17.10713,16.0977,15.673,15.28506,1458,301,5,577,599080763580770304,GALAXY,0.1170802,532,51993,371,12.68789,12.54816
1237651737381306386,211.332193589701,2.97061334325653,17.1546,16.23425,15.73409,15.35554,15.14784,1458,301,5,578,599082412848211968,GALAXY,0.06797487,532,51993,377,12.47012,11.92758
1237651737381306475,211.461517539571,3.06535499925509,19.2268,17.3122,16.39327,15.96596,15.63227,1458,301,5,578,599092033574955008,GALAXY,0.08663977,532,51993,412,13.13197,13.06588
1237651737381896365,212.732468261993,2.85234981618117,17.45874,16.32673,15.84305,15.60513,15.44087,1458,301,5,587,600195943266019328,GALAXY,0.02579214,533,51994,332,13.20854,13.20728
1237651737382224006,213.455738419653,2.87823393613193,19.22671,17.53305,16.66616,16.24723,15.92788,1458,301,5,592,600219033010202624,GALAXY,0.07598375,533,51994,416,13.41436,13.27356
1237651737382551608,214.24890101704,2.84003076130884,17.10025,16.2337,15.9062,15.54588,15.47923,1458,301,5,597,600262463719499776,GALAXY,0.07584549,533,51994,574,12.82898,12.54156
1237651737382813847,214.847534114746,2.8468422779372,18.86561,17.45772,16.64447,16.13777,15.8396,1458,301,5,601,601322942734821376,GALAXY,0.08515838,534,51997,336,12.59043,12.29731
1237651737382879409,214.962415541048,2.92825081713833,19.59108,18.37864,17.68104,17.25582,17.03427,1458,301,5,602,600274558347405312,GALAXY,0.1255253,533,51994,618,14.21571,14.04379
1237651737383207118,215.79501962033,2.94375918779011,18.50449,17.16411,16.63146,16.3281,16.18276,1458,301,5,607,601342459066214400,GALAXY,0.05618017,534,51997,407,13.89346,13.94201
1237651737383338079,216.068779813546,2.79049909468924,18.53143,16.47434,15.55287,15.1332,14.77308,1458,301,5,609,601378468072024064,GALAXY,0.05527654,534,51997,538,12.21663,12.20203
1237651737383469159,216.30517112675,2.91220198346284,19.59499,17.59142,16.497,16.02687,15.63675,1458,301,5,611,657549219472631808,GALAXY,0.1362717,584,52049,86,12.98728,12.81328
1237651737383534777,216.446096431714,2.87075116847812,19.54403,18.5067,17.65709,17.18531,16.92498,1458,301,5,612,601386714409232384,GALAXY,0.2008677,534,51997,568,13.96687,13.56473
1237651737383731214,216.898508340364,2.95448167950251,16.47918,14.85168,14.1246,13.77753,13.48983,1458,301,5,615,602457913646147584,GALAXY,0.0236732,535,51999,369,11.13114,11.14548
1237651737383797028,217.027361554136,2.77760863578496,19.13785,18.04162,17.60474,17.2946,17.23231,1458,301,5,616,602459562913589248,GALAXY,0.08971258,535,51999,375,14.85825,14.74161
1237651737383927920,217.331554117532,2.76563347893581,19.28778,17.58844,16.85142,16.53463,16.31467,1458,301,5,618,602469733396146176,GALAXY,0.08700043,535,51999,412,13.82376,13.74875
1237651737384059016,217.680187308451,2.79081865170922,19.11709,17.94655,17.55569,17.22751,17.12687,1458,301,5,620,602504642890328064,GALAXY,0.1438432,535,51999,539,14.09559,13.95679
1237651737384059033,217.690964817274,2.92617321131765,17.39602,16.40337,16.04427,15.88837,15.74693,1458,301,5,620,602500794599630848,GALAXY,0.02595572,535,51999,525,13.67211,13.60135
1237651737384452364,218.661143918592,2.7205034495216,18.02256,16.41533,15.68493,15.33656,15.0909,1458,301,5,626,602523334588000256,GALAXY,0.02838256,535,51999,607,12.93024,12.97302
1237651737384517784,218.686106605353,2.82336367675998,18.39227,17.60262,17.46171,17.39754,17.29062,1458,301,5,627,602523884343814144,GALAXY,0.02813295,535,51999,609,15.2916,15.07608
1237651737384517867,218.813723641983,2.86116660571335,18.5159,16.93061,16.17369,15.7709,15.48627,1458,301,5,627,603583264216606720,GALAXY,0.1021246,536,52024,367,12.96771,12.78215
1237651737384648741,219.008405904559,2.85161279237179,17.16901,15.28423,14.4411,14.04219,13.71016,1458,301,5,629,603582164704978944,GALAXY,0.02877122,536,52024,363,11.25135,11.30319
1237651737385173235,220.289289848607,2.68683585900374,17.92884,16.48057,15.78045,15.44505,15.19392,1458,301,5,637,603636865408460800,GALAXY,0.02687545,536,52024,562,12.84808,12.85627
1237651737386287311,222.779907885763,2.61603681605397,18.87543,17.14394,16.27517,15.7983,15.44851,1458,301,5,654,604775409749354496,GALAXY,0.08352205,537,52027,608,12.43646,12.22715
1237651737386811615,223.98323322418,2.58084551433117,19.48352,17.9957,17.16386,16.6883,16.37611,1458,301,5,662,605879044579289088,GALAXY,0.1235676,538,52029,527,12.20089,11.11094
1237651737388515705,227.889719803894,2.59243944485903,18.8552,16.81296,15.76212,15.32437,14.94632,1458,301,5,688,664304069292091392,GALAXY,0.1124751,590,52057,84,12.26044,12.1501
1237651737388581187,228.071256502741,2.46197745030319,19.3688,17.48513,16.57024,16.156,15.82607,1458,301,5,689,608141014321883136,GALAXY,0.07594565,540,51996,564,13.3607,13.2601
1237651737388646675,228.168139866255,2.57673993943385,18.70289,17.58372,17.07817,16.77181,16.55644,1458,301,5,690,664293074175813632,GALAXY,0.03915087,590,52057,44,13.91642,13.86341
1237651737388843059,228.623324468057,2.45531248356974,18.63531,17.44686,16.93103,16.61493,16.45024,1458,301,5,693,3323750334853048320,GALAXY,0.03668297,2952,54559,341,14.02455,13.91248
1237651737388974458,228.966582509807,2.52884536003385,18.97636,17.60989,16.90644,16.51178,16.20817,1458,301,5,695,3323756107289094144,GALAXY,0.09517359,2952,54559,362,13.50822,13.2682
1237651737388974479,228.979343802979,2.62482381537176,19.10836,18.08772,17.58739,17.26109,17.13116,1458,301,5,695,3323766827527464960,GALAXY,0.1110814,2952,54559,401,14.59887,14.26803
1237651737389039884,229.06616810822,2.50886347133683,19.31612,17.39392,16.25551,15.79763,15.44148,1458,301,5,696,3323768476794906624,GALAXY,0.140374,2952,54559,407,12.74948,12.54899
1237651737389170841,229.444309158917,2.47894297274681,17.48118,16.48833,16.06744,15.7909,15.63889,1458,301,5,698,3323800087754205184,GALAXY,0.05385926,2952,54559,522,13.13917,12.94935
1237651737389367573,229.805506287629,2.54497186625198,17.24843,15.9242,15.27346,14.95882,14.71306,1458,301,5,701,3323813007015831552,GALAXY,0.006261031,2952,54559,569,12.29893,12.27178
1237651737389433132,230.004719431186,2.40240171223973,18.92253,16.98102,16.10128,15.69009,15.36436,1458,301,5,702,3324873211119691776,GALAXY,0.07653663,2953,54560,330,12.87004,12.76306
1237651737389564508,230.257879057322,2.42977612473208,18.90312,17.62119,17.11086,16.84833,16.6648,1458,301,5,704,3323810807992576000,GALAXY,0.05000385,2952,54559,561,14.33636,14.35423
1237651737389629662,230.390586707077,2.56892596613569,18.8569,16.65186,15.62292,15.16646,14.80989,1458,301,5,705,3324884206235969536,GALAXY,0.08549424,2953,54560,370,12.27574,12.20632
1237651737389629672,230.390551161765,2.47211218178321,18.98924,17.26424,16.42324,16.01512,15.7117,1458,301,5,705,3324885030869690368,GALAXY,0.08151208,2953,54560,373,13.1017,12.96867
1237651737389760695,230.655478556738,2.45359268887626,17.62218,16.0876,15.2962,14.90548,14.602,1458,301,5,707,3324897125497595904,GALAXY,0.08665755,2953,54560,417,12.32745,12.14869
1237651737390285154,231.967195505117,2.36143629059699,19.45263,17.71905,16.87103,16.47358,16.14817,1458,301,5,715,3326007632258426880,GALAXY,0.04963266,2954,54561,361,13.76821,13.79561
1237651737390350675,232.049171702922,2.53007282288751,17.18668,15.65259,14.87581,14.44601,14.14028,1458,301,5,716,3324948252788287488,GALAXY,0.03833105,2953,54560,603,11.80423,11.73566
1237651737390612854,232.709071212595,2.48400966943778,19.16419,17.78516,17.0361,16.60596,16.23359,1458,301,5,720,3326022200787494912,GALAXY,0.08712535,2954,54561,414,13.52087,13.38338
1237651737390809440,233.153096339173,2.45194529657309,19.30552,18.07979,17.36353,16.98679,16.76245,1458,301,5,723,3326056285647955968,GALAXY,0.1306854,2954,54561,538,13.9361,13.66696
1237651737390940475,233.415871984832,2.35350375609911,19.21223,17.43538,16.64762,16.27806,16.01239,1458,301,5,725,3326063432473536512,GALAXY,0.04861765,2954,54561,564,13.59043,13.54312
1237651737391071445,233.661609655689,2.31863713068942,19.16593,17.83402,17.08233,16.6434,16.34049,1458,301,5,727,3326066731008419840,GALAXY,0.1145388,2954,54561,576,13.32029,13.05939
1237651737391464885,234.593023919015,2.39693262648851,19.19541,17.92987,17.31759,16.97105,16.71395,1458,301,5,733,3327136555839023104,GALAXY,0.0960606,2955,54562,372,14.76447,14.51426
1237651737391792374,235.332904290836,2.23302839483417,18.61784,16.83864,15.87911,15.42559,15.08999,1458,301,5,738,3327159645583206400,GALAXY,0.07664775,2955,54562,456,12.27335,12.14456
1237651737391857890,235.459458103365,2.25609930393184,18.46798,16.65972,15.78551,15.3595,15.01624,1458,301,5,739,3327158546071578624,GALAXY,0.06467084,2955,54562,452,12.49605,12.3955
1237651737392251141,236.490385689676,2.28685304324351,19.0926,17.8743,17.40173,17.1305,16.96514,1458,301,5,745,3327192630932039680,GALAXY,0.03929604,2955,54562,576,14.56185,14.62774
1237651737393168717,238.508505245041,2.31626080404507,18.0962,16.55155,15.7754,15.40093,15.11429,1458,301,5,759,669988818715174912,GALAXY,0.01389543,595,52023,285,12.64686,12.61699
1237651753994158134,143.053130134241,1.89362267705508,17.62511,16.70223,16.32348,16.15918,16.09759,1462,301,4,118,5339092219998787584,STAR,0.0003758815,4742,55660,272,14.7944,14.88813
1237651753994354700,143.421122031208,1.89000803292124,18.04259,17.06816,16.72166,16.59669,16.5581,1462,301,4,121,534978135700039680,STAR,4.417467E-05,475,51965,639,15.38969,15.42056
1237651753994354773,143.520817273052,2.04073929399205,18.71704,17.76852,17.44284,17.33104,17.25743,1462,301,4,121,5339080675126695936,STAR,-0.0001338546,4742,55660,230,15.92412,15.97516
1237651753994944518,144.766160435455,2.09622728100475,17.57712,16.5763,16.20852,16.05378,16.01217,1462,301,4,130,537184306804582400,STAR,0.0005544542,477,52026,473,14.22383,14.14431
1237651753995993240,147.30637898007,2.06826607468521,17.20526,16.15586,15.73854,15.58399,15.52323,1462,301,4,146,540580697602025472,STAR,0.0003475065,480,51989,541,14.20009,14.24224
1237651753996189895,147.66604916273,2.16981022497122,19.38732,19.27662,19.08034,18.70576,18.55995,1462,301,4,149,540591692718303232,QSO,1.785641,480,51989,581,15.77139,14.69709
1237651753996255410,147.872663129681,2.00151507512897,19.30117,18.13651,18.22337,18.38725,18.45604,1462,301,4,150,540605161735743488,STAR,0.0003378531,480,51989,630,16.72614,17.11459
1237651753996386414,148.189947022817,2.16081043417175,16.00535,16.33058,16.82832,17.19751,17.56218,1462,301,4,152,541696975423170560,STAR,5.177211E-05,481,51908,506,17.60587,17.72028
1237652934030655656,311.662174045857,-6.67856698871325,17.80125,16.57741,16.00283,15.7468,15.60956,1737,301,2,30,2157263309017999360,STAR,-0.0003826828,1916,53269,142,13.95639,14.08136
1237652934030917732,312.20711921971,-6.89708077658988,17.78608,16.81139,16.47316,16.34324,16.29895,1737,301,2,34,714978637547333632,STAR,-0.0004489485,635,52145,117,15.09849,15.22778
1237652934030983473,312.427581182925,-6.90328947232196,18.8327,17.36924,16.76464,16.55428,16.43579,1737,301,2,35,2157232522692421632,STAR,-0.00011868,1916,53269,30,15.01906,15.22772
1237652946919030903,9.30892252018468,-10.4338596655147,19.37182,18.02851,17.39019,17.02421,16.70157,1740,301,2,83,736344347515054080,GALAXY,0.09424028,654,52146,21,14.2736,14.15652
1237652946921062575,14.0528199375086,-10.4953105521653,19.46449,18.22711,17.84819,17.57212,17.46725,1740,301,2,114,739733317749860352,GALAXY,0.05356348,657,52177,62,15.0425,14.62062
1237653442986049569,353.317661782888,-8.69229978455975,18.18528,16.85767,16.32991,16.12402,15.97978,1855,301,6,57,3541100697980346368,STAR,-9.397907E-06,3145,54801,529,14.49821,14.58083
1237653442986508337,354.455819216801,-8.67363292829533,18.1123,16.76684,16.23277,16.02206,15.89735,1855,301,6,64,3539933290872020992,STAR,-9.63952E-05,3144,54763,378,14.36387,14.52016
1237653442986836056,355.138588689134,-8.68530442352967,19.4702,18.6157,18.29093,18.15318,18.10759,1855,301,6,69,3539942361842950144,STAR,-0.0006104157,3144,54763,411,16.93933,16.95851
1237653442987294800,356.272666669051,-8.77279277502111,18.03545,17.05466,16.78347,16.66181,16.64742,1855,301,6,76,2602055362689394688,STAR,-0.0003289891,2311,54331,366,15.36781,15.2956
1237653442987687966,357.100528009351,-8.83530102328985,17.81824,16.7052,16.31695,16.19374,16.148,1855,301,6,82,2602098793398691840,STAR,-0.0001390112,2311,54331,524,14.90165,15.00486
1237653442987819055,357.452127560998,-8.84106292141526,18.57413,17.28079,16.83534,16.67766,16.60048,1855,301,6,84,2602109788514969600,STAR,-0.0002404504,2311,54331,564,15.37123,15.47614
1237653442987884586,357.588874630185,-8.8203748867101,18.85743,17.702,17.24695,17.05602,16.96359,1855,301,6,85,2602111162904504320,STAR,-1.814001E-05,2311,54331,569,15.55303,16.16029
1237653442988736567,359.610404569235,-8.78134245576122,17.92356,16.96191,16.64694,16.51048,16.45404,1855,301,6,98,731935855593154560,STAR,-0.0009657005,650,52143,367,15.22095,15.24767
1237653587406422308,119.001896375027,37.3734086596195,19.41051,17.49328,16.5736,16.14596,15.81923,1889,301,3,89,611522287807522816,GALAXY,0.07503836,543,52017,577,13.25913,13.20715
1237653587407667260,121.13785937973,39.7313844058001,18.89844,17.41447,24.80144,24.36066,16.28735,1889,301,3,108,613674584922679296,GALAXY,0.04207711,545,52202,215,13.9009,14.30246
1237653587407863853,121.365592058227,40.1209015463205,19.21333,17.81007,17.12372,16.71489,16.49985,1889,301,3,111,613660841027332096,GALAXY,0.0988271,545,52202,165,13.80997,13.66381
1237654950522781851,236.999657432226,57.483531467606,19.4793,17.67934,16.79231,16.31842,16.01839,2206,301,6,106,694836682813368320,GALAXY,0.1041953,617,52072,569,13.37278,13.20136
1237654950523502656,238.931392039512,56.2268884503642,18.64959,16.94029,16.09801,15.64796,15.3212,2206,301,6,117,697072539440015360,GALAXY,0.08316422,619,52056,511,12.71851,12.58893
1237654950525731012,244.4570052279,52.4068483088578,19.24096,17.82322,17.1584,16.81337,16.57817,2206,301,6,151,701606375553263616,GALAXY,0.1019221,623,52051,621,13.95921,13.79343
1237655107288498333,130.390988792071,44.0082724037081,19.2058,17.90889,17.4542,17.27862,17.23813,2243,301,2,97,7637070158130075648,STAR,-8.501593E-05,6783,56284,331,15.65966,15.90897
1237655107289022588,131.542318248445,44.8641755334814,19.57817,19.19779,19.15596,18.92438,18.97005,2243,301,2,105,7637220241467267072,QSO,0.6508386,6783,56284,877,14.35445,13.26695
1237655107289153734,131.82597546591,45.006354897217,19.32593,18.46584,18.1813,18.07728,18.02527,2243,301,2,107,5813029564168034304,STAR,0.0006082613,5163,55889,30,17.00713,18.74605
